epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6346,1.16207,1.53441,1.21975,0.19312,0.09198,0.62437,0.46446,1.07354,1.10423,1.11623,1.785e-05,1.785e-05,1.785e-05
2,103.201,1.26759,1.63493,1.30318,0.19367,0.09285,0.63203,0.47077,1.07102,1.078,1.11457,2.47163e-05,2.47163e-05,2.47163e-05
3,154.354,1.16741,1.42371,1.22933,0.19413,0.09288,0.64543,0.48508,1.06791,1.06074,1.11427,1.90162e-05,1.90162e-05,1.90162e-05
